"sno","team name","team ps id and title selected","Novelty / Originality","Complexity & Technical Challenge","Clarity & Format Completeness","Feasibility","Practicability & Ease of Implementation","Sustainability","Scale of Impact","User Experience (UX)","Potential for Future Work & Scalability","total for (100)"
"1","CodeSwitch","SIH26042 - Al-Powered Vernacular Pedagogy and Real-Time Translation Tool for Mother Tongue-Based Primary Education","","","","","","","","","",""
"2","Sinister Six","SIH26140 - AI-Based Interactive Quantum Algorithm Learning Platform","","","","","","","","","",""
"3","PATCH-V Dynamics","SIH26032 - Farmers often face long waiting times, lack of information regarding procurement schedules, and uncertainty about procurement status.","","","","","","","","","",""
"4","Veyronix","SIH26115 - Design and Develop a Smart Mobile Medical-Waste Collection and Segregation System","","","","","","","","","",""
"5","NeuroNest","SIH26003 - AI-Based Cognitive Gaming and Memory Assistance Platform for Elderly Dementia Patients in North Eastern Region (NER)","","","","","","","","","",""
"6","YatraX","SIH26204 - Student Innovation","","","","","","","","","",""
"7","Return_0","SIH26066 - OceanEmbed - Satellite Embedding-Based Deep Learning Framework for Reconstruction of Subsurface Ocean Temperature from Surface Satellite Observations.","","","","","","","","","",""
"8","Varaham","SIH26014 - An lntegrated GIS-based Digital Public lnfrastructure for Land Governance","","","","","","","","","",""
"9","Dhananjay","SIH26208 - Student Innovation","","","","","","","","","",""
"10","CodeParadox","SIH26130 - Efficiency in streamlining industrial approvals,compliance processes,and access to government support services","","","","","","","","","",""
"11","Needs a name","SIH26178 - A resilient, AI-powered environmental monitoring network that provides early detection, localized intelligence, and actionable alerts for floods, forest fires, pollution events, and other environmental hazards common in India, enabling authorities and communities to shift from reactive disaster response to proactive risk prevention.","","","","","","","","","",""
"12","Bharat Builders","SIH26032 - Farmers often face long waiting times, lack of information regarding procurement schedules, and uncertainty about procurement status.","","","","","","","","","",""
"13","6ix","SIH26104 - AI-Powered Real-Time Detection and Prevention of Voice Cloning Impersonation Attacks","","","","","","","","","",""
"14","Team Mavericks","SIH26033 - Multiple intermediaries reduce farmers earnings and increase consumer prices.","","","","","","","","","",""
"15","Invictus","SIH26083 - Extreme Heatwave Early Warning and Human Thermal Stress Index","","","","","","","","","",""
"16","Syntax_error","SIH26172 - Low Latency and Efficient Voice Activator for Edge Devices","","","","","","","","","",""
"17","Project Õ","Not Selected","","","","","","","","","",""
"18","Smash Squad","SIH26079 - AI-Based Forecast Bust Detection for Medium-Range Weather Forecasts","","","","","","","","","",""
"19","The OG-Z","SIH26001 - AI-Based early warning and landslide Risk Monitoring System in NER","","","","","","","","","",""
"20","PANCHAJANYA","SIH26058 - Development of a Low-Power, Real-Time Adaptive Software-Defined Sonar Transmitter Payload for Autonomous Underwater Vehicles (AUVs)","","","","","","","","","",""
"21","TEAM GANDEEVAM","SIH26102 - Development of an AI-powered system to detect anomalies, fraud, and inefficiencies in MPLAD Scheme implementation regd.","","","","","","","","","",""
"22","HIRANYAGARBHA","SIH26177 - A deployable AI-powered autonomous drone that aids search-and-rescue operations by detecting people and hazards, thereby improving responder safety and reducing victim discovery time.","","","","","","","","","",""
"23","Tech Titans","SIH26104 - AI-Powered Real-Time Detection and Prevention of Voice Cloning Impersonation Attacks","","","","","","","","","",""
"24","VitalBytes","SIH26188 - Al-Based Fake Identity & Document Screening System","","","","","","","","","",""
"25","Tech Vikas","SIH26024 - AI-Based Smart Governance and Compliance Monitoring System for Coal Mines","","","","","","","","","",""
"26","Impact X","SIH26004 - Al-Assisted Early Detection System for Osteoarthritis (OA) Risk Markers in North Eastern Region (NER)","","","","","","","","","",""
"27","Synapse","SIH26017 - Predictive Analytics System for Early Detection of Land Acquisition Delays","","","","","","","","","",""
"28","Shouryangas","SIH26009 - Using AI/ML and Space Technology to Identify Manganese Reserves and Overcome Production Shortfalls.","","","","","","","","","",""
"29","ERROR_404","SIH26055 - Smart Scan strategy for Electronic Warfare","","","","","","","","","",""
"30","TECHTITANS","SIH26095 - Smart Real-Time Monitoring & Inspection Mobile App","","","","","","","","","",""
"31","NEXUS","SIH26102 - Development of an AI-powered system to detect anomalies, fraud, and inefficiencies in MPLAD Scheme implementation regd.","","","","","","","","","",""
"32","Siloviki","SIH26002 - Al-Based Smart Logistics and Accessibility Intelligence Platform for North Eastern Region (NER)","","","","","","","","","",""
"33","Eastern Pride","SIH26001 - AI-Based early warning and landslide Risk Monitoring System in NER","","","","","","","","","",""
"34","RETINOVIA","SIH26038 - Explainable AI for Diabetic Retinopathy Screening in Rural India","","","","","","","","","",""
"35","CODE_BYTE","SIH26044 - Portal for Academia - Industry collaboration for Skill Mapping, Internships and Placement","","","","","","","","","",""
"36","Codehunters","SIH26139 - Hybrid Quantum Machine Learning Platform for Early Disease Detection","","","","","","","","","",""
"37","Braining Ai","SIH26003 - AI-Based Cognitive Gaming and Memory Assistance Platform for Elderly Dementia Patients in North Eastern Region (NER)","","","","","","","","","",""
"38","SENTIVUE","SIH26094 - AI-Powered Dynamic Mental Health Monitoring and Distress Prediction System for Victims of Atrocities","","","","","","","","","",""
